address,tagname,description,type
300.10,ADDR_300_10,,BOOL
300.11,ADDR_300_11,,BOOL
39.00,ADDR_39_00,,BOOL
39.01,HI_SPEED_CONTACT,Hi Speed Contact,BOOL
39.06,ADDR_39_06,,BOOL
39.07,ADDR_39_07,,BOOL
39.08,BUTTERFLY_#1_(NC_TO,Butterfly #1 (N/C) to F/G,BOOL
39.09,BUTTERFLY_#2_(NO_TO,Butterfly #2 (N/O) to 7M,BOOL
39.10,ADDR_39_10,,BOOL
39.11,BUTTERFLY_#4_(NC_TO,Butterfly #4 (N/C) to F/G,BOOL
39.12,ADDR_39_12,,BOOL
39.13,ADDR_39_13,,BOOL
39.14,ADDR_39_14,,BOOL
39.15,ADDR_39_15,,BOOL
40.00,ADDR_40_00,,BOOL
42.01,CARRIER_CHILLER_COMP__#1,Carrier Chiller Comp. #1,BOOL
42.02,CARRIER_CHILLER_COMP__#2,Carrier Chiller Comp. #2,BOOL
42.03,CARRIER_CHILLER_COMP__#3,Carrier Chiller Comp. #3,BOOL
42.04,CARRIER_CHILLER_COMP__#4,Carrier Chiller Comp. #4,BOOL
42.05,CARRIER_CHILLER_COMP__#5,Carrier Chiller Comp. #5,BOOL
42.06,CARRIER_CHILLER_COMP__#6,Carrier Chiller Comp. #6,BOOL
44.01,SMALL_TOWER_AUTO_CONTROL,Small Tower Auto Control,BOOL
44.04,ADDR_44_04,,BOOL
44.05,ADDR_44_05,,BOOL
45.04,LSHH1,LSHH1,BOOL
45.05,LSH1,LSH1,BOOL
45.06,LSH2,LSH2,BOOL
45.07,FAULT,FAULT,BOOL
45.08,FLOW_PULSE,Flow Pulse,BOOL
50.00,ADDR_50_00,,BOOL
50.01,OPEN_VALVE_LARGE_AMOUNT,Open Valve Large Amount,BOOL
50.02,CLOSE_VALVE_SMALL_AMOUNT,Close Valve Small Amount,BOOL
50.03,CLOSE_VALVE_LARGE_AMOUNT,Close Valve Large Amount,BOOL
50.06,TEST_BIT_FOR_ALTERNATE,TEST BIT for Alternate Control,BOOL
50.07,ADDR_50_07,,BOOL
500.00,ADDR_500_00,,BOOL
500.01,STER_LEVEL_BALANCE_TK_DA,BALANCE TANK LOW LEVEL <20%,BOOL
500.02,ADDR_500_02,,BOOL
500.03,STER_LEVEL_BALANCE_TK_LOW,BALANCE TANK LOW LEVEL <15%,BOOL
500.04,CHEM__PARK_POSITION,Chem. Park Position,BOOL
500.05,ADDR_500_05,,BOOL
500.06,STER_LEVEL_BALANCE_TK_ALARM,STERILIZER BALANCE TANK LOW LEVEL,BOOL
500.07,840_MESH_SEL,8/40 Mesh_Sel,BOOL
500.08,20_MESH_SEL,20 Mesh_Sel,BOOL
500.09,40_MESH_SEL,40 Mesh_Sel,BOOL
500.10,ADDR_500_10,,BOOL
500.11,ADDR_500_11,,BOOL
500.12,ADDR_500_12,,BOOL
500.13,ADDR_500_13,,BOOL
500.14,CHEM__OSCILLATING,Chem. Oscillating,BOOL
501.00,ADDR_501_00,,BOOL
501.01,840_MESH_INDICATION,8/40 Mesh Indication,BOOL
501.02,20_MESH_INDICATION,20 Mesh Indication,BOOL
501.03,40_MESH_INDICATION,40 Mesh Indication,BOOL
501.04,ADDR_501_04,,BOOL
501.05,408_MESH_SEL,40/8 Mesh_Sel,BOOL
501.06,ADDR_501_06,,BOOL
501.07,408_MESH_INDICATION,40/8 Mesh Indication,BOOL
501.08,820_MESH_SEL,8/20 Mesh_Sel,BOOL
501.09,ADDR_501_09,,BOOL
501.10,ADDR_501_10,,BOOL
501.11,STERILIZER_OZONE_ALM_SCADA,Sterilizer Ozone ALM SCADA,BOOL
501.12,WALTER_SPECIAL,Walter Special,BOOL
501.13,ADDR_501_13,,BOOL
501.14,WALTER_MESH_INDICATION,Walter Mesh Indication,BOOL
501.15,STERILIZER_OZONE_TROUBLE_SCADA,Sterilizer Ozone Trouble SCADA,BOOL
502.00,ADDR_502_00,,BOOL
502.01,ADDR_502_01,,BOOL
502.02,ADDR_502_02,,BOOL
502.03,REGRIND_SEL,Regrind_Sel,BOOL
502.04,ADDR_502_04,,BOOL
502.05,REGRINDING_INDICATION,Regrinding Indication,BOOL
503.00,STER_VSD_FAULT_ALARM,STER_PUMPS_VSD_FAULT,BOOL
503.01,SATAKE_LSH1,SATAKE LSH1,BOOL
503.02,SATAKE_LSH2,SATAKE LSH2,BOOL
503.03,SATAKE_FAULT,SATAKE FAULT,BOOL
503.04,SATAKE_ALARM_SILENCE_SCADA,SATAKE ALARM SILENCE SCADA P.B.,BOOL
503.05,SATAKE_BUZZERLIGHT,SATAKE BUZZER/LIGHT,BOOL
503.06,SCADA_RESET_P_B_,SCADA RESET P.B.,BOOL
503.07,STOP_COMIL_TO_SCADA,STOP COMIL TO SCADA,BOOL
503.08,COUNTER_STOP_SCADA_P_B_,COUNTER STOP SCADA P.B.,BOOL
503.10,ADDR_503_10,,BOOL
503.11,COUNTER_STOP,COUNTER STOP,BOOL
503.12,BYPASS_MODE,BYPASS MODE,BOOL
503.13,BYPASS_ENABLED_WITHOUT_ALARM,BYPASS ENABLED WITHOUT ALARM,BOOL
51.00,ADDR_51_00,,BOOL
60.00,ADDR_60_00,,BOOL
60.01,ADDR_60_01,,BOOL
60.02,ADDR_60_02,,BOOL
91.00,ADDR_91_00,,BOOL
91.01,ADDR_91_01,,BOOL
91.03,ADDR_91_03,,BOOL
92.00,ADDR_92_00,,BOOL
AR01.00,ADDR_AR01_00,,BOOL
AR01.01,ADDR_AR01_01,,BOOL
AR01.02,ADDR_AR01_02,,BOOL
AR01.03,ADDR_AR01_03,,BOOL
AR01.07,ADDR_AR01_07,,BOOL
AR01.08,ADDR_AR01_08,,BOOL
AR01.09,ADDR_AR01_09,,BOOL
b0830,ADDR_b0830,,UNKNOWN
CNT020,ADDR_CNT020,,UNKNOWN
CNT030,ADDR_CNT030,,UNKNOWN
CNT031,ADDR_CNT031,,BOOL
CNT041,ADDR_CNT041,,BOOL
CNT051,ADDR_CNT051,,BOOL
CNT052,UPDATE_TIMERCOUNTER,Update Timer/Counter,BOOL
CNT061,CNT061_PV,CNT061_PV,UINT
CNT061,CNT061_PV,CNT061_PV,BOOL
DM0,ADDR_DM0,,INT
DM1,ADDR_DM1,,INT
DM10,ADDR_DM10,,INT
DM100,ADDR_DM100,,INT
DM102,ADDR_DM102,,INT
DM104,ADDR_DM104,,INT
DM106,ADDR_DM106,,INT
DM110,ADDR_DM110,,INT
DM112,ADDR_DM112,,INT
DM1121,ADDR_DM1121,,INT
DM1122,ADDR_DM1122,,INT
DM1123,ADDR_DM1123,,INT
DM114,ADDR_DM114,,INT
DM116,ADDR_DM116,,INT
DM1170,ADDR_DM1170,,INT
DM1171,ADDR_DM1171,,INT
DM120,ADDR_DM120,,INT
DM122,ADDR_DM122,,INT
DM124,ADDR_DM124,,INT
DM126,ADDR_DM126,,INT
DM130,TEMPERATURE_S_P_,Temperature S.P.,CHANNEL
DM132,ADDR_DM132,,INT
DM134,ADDR_DM134,,INT
DM136,ADDR_DM136,,INT
DM140,ADDR_DM140,,INT
DM141,ADDR_DM141,,INT
DM142,ADDR_DM142,,INT
DM144,ADDR_DM144,,INT
DM147,ADDR_DM147,,INT
DM148,ADDR_DM148,,INT
DM149,ADDR_DM149,,INT
DM150,GLYCOL_SETPOINT,Glycol Setpoint,CHANNEL
DM1712,ADDR_DM1712,,INT
DM1717,ADDR_DM1717,,INT
DM1720,ADDR_DM1720,,INT
DM1721,ADDR_DM1721,,INT
DM1722,ADDR_DM1722,,INT
DM1727,EAST_FLOW_RATE,EAST DRYER FLOW RATE 0-500  Chemetator flow,CHANNEL
DM1728,ADDR_DM1728,,INT
DM1730,ADDR_DM1730,,INT
DM1731,ADDR_DM1731,,INT
DM1732,ADDR_DM1732,,INT
DM1737,WEST_FLOW_RATE,WEST DRYER FLOW RATE 0-130 l/m,CHANNEL
DM1738,ADDR_DM1738,,INT
DM1740,ADDR_DM1740,,INT
DM1741,ADDR_DM1741,,INT
DM1742,ADDR_DM1742,,INT
DM1747,REGEN_FAN_AMPS,Regen Fan Amps,CHANNEL
DM1750,ADDR_DM1750,,INT
DM1751,ADDR_DM1751,,INT
DM1752,ADDR_DM1752,,INT
DM1757,ADDR_DM1757,,INT
DM1760,ADDR_DM1760,,INT
DM1761,ADDR_DM1761,,INT
DM1762,ADDR_DM1762,,INT
DM1767,MAIN_FAN_AMPS,Main Fan Amps,CHANNEL
DM1770,ADDR_DM1770,,INT
DM1771,ADDR_DM1771,,INT
DM1772,ADDR_DM1772,,INT
DM1777,ADDR_DM1777,,INT
DM1780,ADDR_DM1780,,INT
DM1781,ADDR_DM1781,,INT
DM1782,ADDR_DM1782,,INT
DM1787,ADDR_DM1787,,INT
DM1790,ADDR_DM1790,,INT
DM180,ADDR_DM180,,INT
DM1821,ADDR_DM1821,,INT
DM184,ADDR_DM184,,INT
DM1886,ADDR_DM1886,,INT
DM1921,ADDR_DM1921,,INT
DM2,ADDR_DM2,,INT
DM200,ADDR_DM200,,INT
DM204,ADDR_DM204,,INT
DM215,ADDR_DM215,,INT
DM217,ADDR_DM217,,INT
DM220,ADDR_DM220,,INT
DM221,ADDR_DM221,,INT
DM222,ADDR_DM222,,INT
DM223,ADDR_DM223,,INT
DM224,ADDR_DM224,,INT
DM225,ADDR_DM225,,INT
DM226,ADDR_DM226,,INT
DM24,ADDR_DM24,,INT
DM25,ADDR_DM25,,INT
DM255,ADDR_DM255,,INT
DM256,DM257,DM257,CHANNEL
DM257,ADDR_DM257,,INT
DM258,ADDR_DM258,,INT
DM259,ADDR_DM259,,INT
DM260,ADDR_DM260,,INT
DM2600,ADDR_DM2600,,INT
DM261,ADDR_DM261,,INT
DM2650,ADDR_DM2650,,INT
DM27,ADDR_DM27,,INT
DM270,ADDR_DM270,,INT
DM2700,ADDR_DM2700,,INT
DM274,, ,CHANNEL
DM275,ADDR_DM275,,INT
DM2750,51-3_SET_POINT_RESULT,51-3 SET POINT result,CHANNEL
DM279,ADDR_DM279,,INT
DM28,ADDR_DM28,,INT
DM280,ADDR_DM280,,INT
DM2800,C_(S_P_,C (S.P.),CHANNEL
DM2801,C+1_(PROP_,C+1 (Prop.),CHANNEL
DM2802,C+2_(INT_,C+2 (Int.),CHANNEL
DM2803,C+3_(DERIV_,C+3 (Deriv.),CHANNEL
DM2804,C+4_(SAMPLE,C+4 (Sample),CHANNEL
DM2805,C+5_(FWDREV*,C+5 (FWD/REV*),CHANNEL
DM2806,C+6_(IN_RANGE_|,C+6 (IN Range | Time | OUT Range),CHANNEL
DM284,ADDR_DM284,,INT
DM285,ADDR_DM285,,INT
DM2850,ADDR_DM2850,,INT
DM289,ADDR_DM289,,INT
DM3,ADDR_DM3,,INT
DM30,ADDR_DM30,,INT
DM300,ADDR_DM300,,INT
DM3000,ADDR_DM3000,,INT
DM3001,ADDR_DM3001,,INT
DM3002,ADDR_DM3002,,INT
DM3005,ADDR_DM3005,,INT
DM3006,ADDR_DM3006,,INT
DM3007,ADDR_DM3007,,INT
DM3008,ADDR_DM3008,,INT
DM3009,ADDR_DM3009,,INT
DM304,ADDR_DM304,,INT
DM31,ADDR_DM31,,INT
DM310,ADDR_DM310,,INT
DM314,ADDR_DM314,,INT
DM3143,ADDR_DM3143,,INT
DM3148,ADDR_DM3148,,INT
DM33,ADDR_DM33,,INT
DM34,ADDR_DM34,,INT
DM3499,P66_SCADA_SPEED_SETPOINT,P66 SCADA SPEED SETPOINT,CHANNEL
DM3500,P66_SP,P66 SPEED SETPOINT,CHANNEL
DM3501,P117_SP,P117 SPEED SETPOINT,CHANNEL
DM3505,ADDR_DM3505,,INT
DM3506,ADDR_DM3506,,INT
DM3521,ADDR_DM3521,,INT
DM3526,ADDR_DM3526,,INT
DM3553,ADDR_DM3553,,INT
DM3558,ADDR_DM3558,,INT
DM3563,ADDR_DM3563,,INT
DM3568,ADDR_DM3568,,INT
DM3573,ADDR_DM3573,,INT
DM3578,ADDR_DM3578,,INT
DM3603,ADDR_DM3603,,INT
DM3608,ADDR_DM3608,,INT
DM3613,ADDR_DM3613,,INT
DM3618,ADDR_DM3618,,INT
DM3623,ADDR_DM3623,,INT
DM3628,ADDR_DM3628,,INT
DM3800,ADDR_DM3800,,INT
DM3801,ADDR_DM3801,,INT
DM3802,ADDR_DM3802,,INT
DM3803,ADDR_DM3803,,INT
DM3804,ADDR_DM3804,,INT
DM3805,ADDR_DM3805,,INT
DM3806,ADDR_DM3806,,INT
DM3807,ADDR_DM3807,,INT
DM3808,ADDR_DM3808,,INT
DM3809,ADDR_DM3809,,INT
DM3810,ADDR_DM3810,,INT
DM3811,ADDR_DM3811,,INT
DM4,ADDR_DM4,,INT
DM4000,ADDR_DM4000,,INT
DM4005,ADDR_DM4005,,INT
DM5,ADDR_DM5,,INT
DM500,STER_TR74_BEFORE_LOOP,STERILE LOOP TEMP (Before Loop),INT
DM501,STER_TR74_STPT_AI,TR74 SETPOINT,INT
DM502,ADDR_DM502,,INT
DM503,ADDR_DM503,,INT
DM505,ADDR_DM505,,INT
DM506,STER_TR74_OUT_AI,STER TR74 PID OUTPUT,INT
DM508,ADDR_DM508,,INT
DM509,ADDR_DM509,,INT
DM510,STER_VAC,STERILIZER VACUUM LOW (PICA70),INT
DM511,STER_VAC_STPT_AR,(NGC),INT
DM512,ADDR_DM512,,INT
DM513,ADDR_DM513,,INT
DM515,ADDR_DM515,,INT
DM5200,HIGH_DEADBAND_LIMIT,High Deadband Limit,CHANNEL
DM5201,HIGH_HIGH_DEADBAND_LIMIT,High High DeadBand Limit,CHANNEL
DM5202,LOW_DEADBAND_LIMIT,Low DeadBand Limit,CHANNEL
DM5203,LOW_LOW_DEADBAND_LIMIT,Low Low DeadBand Limit,CHANNEL
DM5204,ADDR_DM5204,,INT
DM5205,ADDR_DM5205,,INT
DM5209,IDH_OUTLET_TEMPERATURE_SCALED,IDH Outlet Temperature Scaled,CHANNEL
DM5209,IDH_OUTLET_TEMPERATURE_SCALED,IDH Outlet Temperature Scaled,CHANNEL
DM5210,PREVIOUS_CC3_OUTPUT,Previous CC3 Output,CHANNEL
DM5210,PREVIOUS_CC3_OUTPUT,Previous CC3 Output,CHANNEL
DM5211,CURRENT_CC3_OUTPUT,Current CC3 Output,CHANNEL
DM5211,CURRENT_CC3_OUTPUT,Current CC3 Output,CHANNEL
DM5212,HEX_OUTPUT,HEX Output,CHANNEL
DM5212,HEX_OUTPUT,HEX Output,CHANNEL
DM5213,SCALED_HEX_OUTPUT,Scaled Hex Output,CHANNEL
DM5213,SCALED_HEX_OUTPUT,Scaled Hex Output,CHANNEL
DM5215,IDH_OUTLET_SETPOINT,IDH Outlet Setpoint,CHANNEL
DM5215,IDH_OUTLET_SETPOINT,IDH Outlet Setpoint,CHANNEL
DM5217,PHYSICAL_OUTPUT_(104,Physical Output (104),CHANNEL
DM5217,PHYSICAL_OUTPUT_(104,Physical Output (104),CHANNEL
DM5221,T51-12_SCALED,T51-12 SCALED,CHANNEL
DM5221,T51-12_SCALED,T51-12 SCALED,CHANNEL
DM6,ADDR_DM6,,INT
DM7,ADDR_DM7,,INT
DM8,ADDR_DM8,,INT
DM800,ADDR_DM800,,INT
DM801,ADDR_DM801,,INT
DM9,ADDR_DM9,,INT
DM900,ADDR_DM900,,INT
DM901,ADDR_DM901,,INT
DM902,ADDR_DM902,,INT
DM910,STER_TO_DRIER_CIP_STEP,STERILIZER CIP SEQUENCE TO SET P117 P66 SPEED,CHANNEL
DM920,EAST_FLOW,New Dryer  flow rate,CHANNEL
DM930,ADDR_DM930,,INT
DM934,ADDR_DM934,,INT
DM935,ADDR_DM935,,INT
DM939,ADDR_DM939,,INT
HR01.00,ADDR_HR01_00,,BOOL
HR01.01,ADDR_HR01_01,,BOOL
HR01.02,ADDR_HR01_02,,BOOL
HR01.03,ADDR_HR01_03,,BOOL
HR01.04,ADDR_HR01_04,,BOOL
HR01.05,ADDR_HR01_05,,BOOL
HR01.06,ADDR_HR01_06,,BOOL
HR01.07,ADDR_HR01_07,,BOOL
HR01.08,ADDR_HR01_08,,BOOL
HR01.09,ADDR_HR01_09,,BOOL
HR01.10,ADDR_HR01_10,,BOOL
HR01.11,ADDR_HR01_11,,BOOL
HR02.00,ADDR_HR02_00,,BOOL
HR02.01,ADDR_HR02_01,,BOOL
HR02.02,ADDR_HR02_02,,BOOL
HR02.03,ADDR_HR02_03,,BOOL
HR02.04,ADDR_HR02_04,,BOOL
HR02.05,ADDR_HR02_05,,BOOL
HR02.06,ADDR_HR02_06,,BOOL
HR02.07,ADDR_HR02_07,,BOOL
HR02.08,ADDR_HR02_08,,BOOL
HR02.09,ADDR_HR02_09,,BOOL
HR02.10,ADDR_HR02_10,,BOOL
HR02.11,ADDR_HR02_11,,BOOL
HR02.12,ADDR_HR02_12,,BOOL
HR03.00,ADDR_HR03_00,,BOOL
HR03.01,ADDR_HR03_01,,BOOL
HR10.00,ADDR_HR10_00,,BOOL
HR10.01,ADDR_HR10_01,,BOOL
HR10.02,ADDR_HR10_02,,BOOL
HR10.03,ADDR_HR10_03,,BOOL
TIM000,ADDR_TIM000,,BOOL
TIM005,ADDR_TIM005,,BOOL
TIM006,ADDR_TIM006,,BOOL
TIM010,ADDR_TIM010,,BOOL
TIM015,ADDR_TIM015,,BOOL
TIM016,ADDR_TIM016,,BOOL
TIM017,ADDR_TIM017,,BOOL
TIM021,ADDR_TIM021,,BOOL
TIM022,ADDR_TIM022,,BOOL
TIM023,ADDR_TIM023,,BOOL
TIM024,ADDR_TIM024,,BOOL
TIM025,ADDR_TIM025,,BOOL
TIM026,ADDR_TIM026,,BOOL
TIM027,ADDR_TIM027,,BOOL
TIM028,ADDR_TIM028,,BOOL
TIM029,ADDR_TIM029,,BOOL
TIM032,ADDR_TIM032,,BOOL
TIM033,ADDR_TIM033,,BOOL
TIM034,ADDR_TIM034,,BOOL
TIM035,ADDR_TIM035,,BOOL
TIM036,ADDR_TIM036,,BOOL
TIM037,ADDR_TIM037,,BOOL
TIM038,ADDR_TIM038,,BOOL
TIM039,ADDR_TIM039,,BOOL
TIM060,ADDR_TIM060,,BOOL
TIM062,ALARM_SILENCE_RESET_TIMER,ALARM SILENCE RESET TIMER,BOOL
TIM063,RESET_P_B__RESET_TIMER,RESET P.B. RESET TIMER,BOOL
TIM064,COUNTER_STOP_RESET_TIMER,COUNTER STOP RESET TIMER,BOOL
TIM065,ALARM_SILENCE_TIMER,ALARM SILENCE TIMER,BOOL
TIM066,STOP_COMIL_DELAY,STOP COMIL DELAY,BOOL
TIM068,OZONE_LEAK_DELAY,Ozone Leak Delay,BOOL
TIM069,OZONE_TROUBLE_DELAY,Ozone Trouble Delay,BOOL
DM411,STER_CIP_COND_STPT,Sterilizer CIP Conductivity Setpoint (mS),INT
DM420,STERILIZER_RUNNING_STATUS,"2'=S/D, 3=CIP, 4=Park, 5=CIP>Target, 6=??'",INT
DM480,STER_TR74A,STERILE LOOP TEMP (After Loop),INT
DM481,STER_TR74,STERILE LOOP TEMP (Before Loop),INT
DM516,STER_VAC_OUT_AI,STER VAC PID OUTPUT,INT
DM519,STER_VAC_STPT_AI,STERILIZER VAC STPT,INT
DM520,STER_LEVEL_SEP,SEPARATOR LEVEL,INT
DM521,STER_LEVEL_SEP_STPT_AI,SEPARATOR LEVEL,INT
DM526,STER_LEVEL_SEP_OUT_AI,STER SEPARATOR LEVEL PID OUTPUT,INT
DM530,STER_FLOW_PASSTHRU,Sterilizer Flowrate to Chemetaor PLC,INT
DM531,STER_FLOW_STPT_AI,FLOWRATE STPT,INT
DM536,STER_FLOW_OUT_AI,STER FLOW PID OUTPUT,INT
DM539,STER_CIP_CAUSTIC_PULSE,STER CIP CAUSTIC FLOW PULSE (2lt/p),INT
DM541,STER_CIP_CAUSTIC_PULSE_PREV,STERILIZER CIP CAUSTIC FLOW PULSE TOT,INT
1.10,STER_CHEM_IN_PARK_POSITION,,BOOL
IR101,STER_TR74A_AFTER_LOOP,STERILE LOOP TEMP (After Loop),UNKNOWN
IR102,STERILE_TK_TEMP,sterile tank temp,UNKNOWN
IR103,STER_CIP_COND1,sterilizer CIP conductivity 0-100 ms/cm,UNKNOWN
IR104,WEST_VOT_TEMP,west votator head temp,UNKNOWN
IR111,STER_LEVEL_BALANCE_TK,STERILIZER BALANCE TANK LEVEL %,UNKNOWN
IR112,STER_LEVEL_STERILE_TK,STERILIZER STERILE TANK LEVEL %,UNKNOWN
IR113,STER_STEAM_PRESSURE,STERILIZER STEAM PRESSURE LOW,UNKNOWN
IR114,STER_CIP_CAUSTIC_FLOW,STERILIZER CIP CAUSTIC FLOW (0-50lt/min),UNKNOWN
2.00,STER_P64_STATUS,STERILIZER P64 STATUS,BOOL
2.07,STER_P116_OUTPUT_RELAY,P116 OUTPUT STATUS,BOOL
2.01,STER_P72_STATUS,STERILIZER P72 STATUS,BOOL
2.10,STER_P119_STATUS,STERILIZER P119 STATUS,BOOL
2.14,STER_SANITIZER_PMP,Sterilizer Sanitizer Pump Status,BOOL
2.15,STER_CAUSTIC_PMP,Sterilizer Caustic Pump Status,BOOL
2.02,STER_P66_STATUS,STERILIZER P66 STATUS,BOOL
2.03,STER_P67_STATUS,STERILIZER P67 STATUS,BOOL
2.04,STER_P68_STATUS,STERILIZER P68 STATUS,BOOL
2.05,STER_P69_STATUS,STERILIZER P69 STATUS,BOOL
2.06,STER_P76_STATUS,STERILIZER P76 STATUS,BOOL
2.08,STER_P118_STATUS,STERILIZER P118 starter when in auto,BOOL
2.09,STER_P117_STATUS,STERILIZER P117 STATUS,BOOL
233.01,STER_PROCESS_START_SCADA_PB,Sterilizer Process SCADA Start,BOOL
233.03,STER_CIP_START_SCADA_PB,Sterilizer CIP SCADA Start,BOOL
233.05,STER_P116_START_DO,P116 START PUSH BUTTON,BOOL
233.06,STER_P118_START_DO,P118 PUSH BUTTON,BOOL
233.07,STER_PROD_PURGE_SCADA_PB,Sterilizer Production Purge SCADA Start,BOOL
233.09,STER_CIP_STATUS,MONITORS IF IN CIP MODE,BOOL
3.06,STER_V116,Vert. Condenser Cooling Water Valves,BOOL
3.12,STER_V115,Vert. Condenser CIP Valve,BOOL
3.08,STER_PROCESS_ALARM,,BOOL
315.04,STER_STEAM_PRESSURE_ALM,Sterilizer Low Steam Pressure Alarm,BOOL
4.00,STER_V88,,BOOL
4.09,STER_V103_ACTUAL,V103 STATUS (O/P INVERTED),BOOL
4.01,STER_V77,,BOOL
4.10,STER_V104,V104 STATUS,BOOL
4.11,STER_V106,,BOOL
4.12,STER_V107,,BOOL
4.13,STER_V108,,BOOL
4.14,STER_V109,,BOOL
4.15,STER_V110,,BOOL
4.02,STER_V90,,BOOL
4.03,STER_V91,,BOOL
4.04,STER_V93,,BOOL
4.06,STER_V99,,BOOL
4.07,STER_V100,,BOOL
4.08,STER_V101,,BOOL
400.00,STER_PROCESS_PS1,PROCESS STARTED,BOOL
400.10,STER_PROCESS_PS6,START P64,BOOL
400.12,STER_PROCESS_PS7,RECIRCULATION,BOOL
400.14,STER_PROCESS_PS8,START STEAM / POSITION VALVES,BOOL
400.02,STER_PROCESS_PS2,START P116 / P76,BOOL
400.04,STER_PROCESS_PS3,START P64,BOOL
