address,real_address,prefix,number,tagname,description,tag_type,source,alias,SCADA_tagname
D18,D18,D,18,EXT_ADDR_D18,,REAL,PLC,,[]
D19,D19,D,19,EXT_ADDR_D19,,REAL,PLC,,[]
D20,D20,D,20,EXT_ADDR_D20,,REAL,PLC,,[]
D21,D21,D,21,EXT_ADDR_D21,,REAL,PLC,,[]
D22,D22,D,22,EXT_ADDR_D22,,REAL,PLC,,[]
D23,D23,D,23,EXT_ADDR_D23,,REAL,PLC,,[]
D24,D24,D,24,EXT_ADDR_D24,,REAL,PLC,,[]
D25,D25,D,25,EXT_ADDR_D25,,REAL,PLC,,[]
D50,D50,D,50,SIGNALCND1,"""Machine #1 Signal Conditioning""",REAL,PLC,,[]
D51,D51,D,51,EXT_ADDR_D51,,REAL,PLC,,[]
D52,D52,D,52,SCALELOW11,"""Low Scale Machine 1 Input 1""",REAL,PLC,,[]
D53,D53,D,53,EXT_ADDR_D53,,REAL,PLC,,[]
D54,D54,D,54,EXT_ADDR_D54,,REAL,PLC,,[]
D55,D55,D,55,EXT_ADDR_D55,,REAL,PLC,,[]
D56,D56,D,56,EXT_ADDR_D56,,REAL,PLC,,[]
D57,D57,D,57,EXT_ADDR_D57,,REAL,PLC,,[]
D58,D58,D,58,EXT_ADDR_D58,,REAL,PLC,,[]
D59,D59,D,59,EXT_ADDR_D59,,REAL,PLC,,[]
D60,D60,D,60,EXT_ADDR_D60,,REAL,PLC,,[]
D61,D61,D,61,EXT_ADDR_D61,,REAL,PLC,,[]
D62,D62,D,62,EXT_ADDR_D62,,REAL,PLC,,[]
D63,D63,D,63,EXT_ADDR_D63,,REAL,PLC,,[]
D64,D64,D,64,EXT_ADDR_D64,,REAL,PLC,,[]
D65,D65,D,65,EXT_ADDR_D65,,REAL,PLC,,[]
D66,D66,D,66,EXT_ADDR_D66,,REAL,PLC,,[]
D67,D67,D,67,EXT_ADDR_D67,,REAL,PLC,,[]
D68,D68,D,68,EXT_ADDR_D68,,REAL,PLC,,[]
D69,D69,D,69,EXT_ADDR_D69,,REAL,PLC,,[]
D70,D70,D,70,EXT_ADDR_D70,,REAL,PLC,,[]
D71,D71,D,71,EXT_ADDR_D71,,REAL,PLC,,[]
D72,D72,D,72,EXT_ADDR_D72,,REAL,PLC,,[]
D73,D73,D,73,EXT_ADDR_D73,,REAL,PLC,,[]
D74,D74,D,74,EXT_ADDR_D74,,REAL,PLC,,[]
D75,D75,D,75,EXT_ADDR_D75,,REAL,PLC,,[]
D76,D76,D,76,EXT_ADDR_D76,,REAL,BOTH,,['SETTLING_TANK1_COOK_EXT']
D77,D77,D,77,EXT_ADDR_D77,,REAL,BOTH,,['SETTLING_TANK2_COOK_EXT']
D78,D78,D,78,EXT_ADDR_D78,,REAL,BOTH,,['SETTLING_TANK3_COOK_EXT']
D79,D79,D,79,EXT_ADDR_D79,,REAL,BOTH,,['SETTLING_TANK4_COOK_EXT']
D80,D80,D,80,STK1AND2_LEVEL_SP,"""EXT 1&2 Settling Tank low level Transfare setpoint""",REAL,BOTH,,"['EXT_LEVEL_ST12_STPT_AR', 'EXT_LEVEL_ST12_STPT_AI', 'EXT_LEVEL_ST12_STPT_AO']"
D81,D81,D,81,STK3AND4_LEVEL_SP,"""EXT 3&4 Settling Tank low level Transfare setpoint""",REAL,BOTH,,"['EXT_LEVEL_ST34_STPT_AR', 'EXT_LEVEL_ST34_STPT_AI', 'EXT_LEVEL_ST34_STPT_AO']"
D82,D82,D,82,UFHT1_LVL_FROM_SCADA,"""UFHT#1 LVL from SCADA""",REAL,BOTH,,['UFHT1_LVL_TO_EXT']
D83,D83,D,83,UFHT2_LVL_FROM_SCADA,"""UFHT#2 LVL from SCADA""",REAL,BOTH,,['UFHT2_LVL_TO_EXT']
D84,D84,D,84,EXT_ADDR_D84,,REAL,PLC,,[]
D85,D85,D,85,EXT_ADDR_D85,,REAL,PLC,,[]
D86,D86,D,86,EXT_ADDR_D86,,REAL,PLC,,[]
D87,D87,D,87,EXT_ADDR_D87,,REAL,PLC,,[]
D88,D88,D,88,EXT_ADDR_D88,,REAL,BOTH,,"['EXT_FILL_STPT_COOK1_1000_AI', 'EXT_FILL_STPT_COOK1_1000_A0']"
D89,D89,D,89,EXT_ADDR_D89,,REAL,BOTH,,"['EXT_FILL_STPT_COOK1_10000_AI', 'EXT_FILL_STPT_COOK1_10000_A0']"
D90,D90,D,90,EXT_ADDR_D90,,REAL,BOTH,,"['EXT_FILL_STPT_COOKWF_1000_AI', 'EXT_FILL_STPT_COOKWF_1000_A0']"
D91,D91,D,91,EXT_ADDR_D91,,REAL,BOTH,,"['EXT_FILL_STPT_COOKWF_10000_AI', 'EXT_FILL_STPT_COOKWF_10000_A0']"
D92,D92,D,92,EXT_ADDR_D92,,REAL,BOTH,,"['EXT_FILL_STPT_COOK2_1000_AI', 'EXT_FILL_STPT_COOK2_1000_A0']"
D93,D93,D,93,EXT_ADDR_D93,,REAL,BOTH,,"['EXT_FILL_STPT_COOK2_10000_AI', 'EXT_FILL_STPT_COOK2_10000_A0']"
D94,D94,D,94,EXT_ADDR_D94,,REAL,BOTH,,"['EXT_FILL_STPT_COOK3_1000_AI', 'EXT_FILL_STPT_COOK3_1000_A0']"
D95,D95,D,95,EXT_ADDR_D95,,REAL,BOTH,,"['EXT_FILL_STPT_COOK3_10000_AI', 'EXT_FILL_STPT_COOK3_10000_A0']"
D96,D96,D,96,EXT_ADDR_D96,,REAL,BOTH,,"['EXT_FILL_STPT_COOK4_1000_AI', 'EXT_FILL_STPT_COOK4_1000_A0']"
D97,D97,D,97,EXT_ADDR_D97,,REAL,BOTH,,"['EXT_FILL_STPT_COOK4_10000_AI', 'EXT_FILL_STPT_COOK4_10000_A0']"
D98,D98,D,98,EXT_ADDR_D98,,REAL,BOTH,,['UFHT_RECLAIM_KG']
D99,D99,D,99,Tag_15MININCR,"""15 Minute Timer Increment""",REAL,PLC,,[]
D100,D100,D,100,Tag_10MININCR,"""10 Minute Increment Timer""",REAL,PLC,,[]
D160,D160,D,160,WFVOLUMESET,"""WFVOLUMESET""",REAL,PLC,,[]
D161,D161,D,161,EXT_ADDR_D161,,REAL,PLC,,[]
D162,D162,D,162,EXT_ADDR_D162,,REAL,PLC,,[]
D163,D163,D,163,EXT_ADDR_D163,,REAL,PLC,,[]
D164,D164,D,164,EXT_ADDR_D164,,REAL,PLC,,[]
D165,D165,D,165,EXT_ADDR_D165,,REAL,PLC,,[]
D166,D166,D,166,EXT_ADDR_D166,,REAL,PLC,,[]
D167,D167,D,167,EXT_ADDR_D167,,REAL,PLC,,[]
D168,D168,D,168,EXT_ADDR_D168,,REAL,PLC,,[]
D169,D169,D,169,EXT_ADDR_D169,,REAL,PLC,,[]
D170,D170,D,170,EXT_ADDR_D170,,REAL,PLC,,[]
D171,D171,D,171,EXT_ADDR_D171,,REAL,PLC,,[]
D172,D172,D,172,EXT_ADDR_D172,,REAL,PLC,,[]
D173,D173,D,173,EXT_ADDR_D173,,REAL,PLC,,[]
D174,D174,D,174,EXT_ADDR_D174,,REAL,PLC,,[]
D175,D175,D,175,EXT_ADDR_D175,,REAL,PLC,,[]
D176,D176,D,176,EXT_ADDR_D176,,REAL,PLC,,[]
D177,D177,D,177,EXT_ADDR_D177,,REAL,PLC,,[]
D178,D178,D,178,EXT_ADDR_D178,,REAL,PLC,,[]
D179,D179,D,179,EXT_ADDR_D179,,REAL,PLC,,[]
D180,D180,D,180,EXT_ADDR_D180,,REAL,PLC,,[]
D181,D181,D,181,EXT_ADDR_D181,,REAL,PLC,,[]
D182,D182,D,182,EXT_ADDR_D182,,REAL,PLC,,[]
D183,D183,D,183,EXT_ADDR_D183,,REAL,PLC,,[]
D184,D184,D,184,EXT_ADDR_D184,,REAL,PLC,,[]
D185,D185,D,185,EXT_ADDR_D185,,REAL,PLC,,[]
D186,D186,D,186,EXT_ADDR_D186,,REAL,PLC,,[]
D187,D187,D,187,EXT_ADDR_D187,,REAL,PLC,,[]
D188,D188,D,188,EXT_ADDR_D188,,REAL,PLC,,[]
D189,D189,D,189,EXT_ADDR_D189,,REAL,PLC,,[]
D237,D237,D,237,EXT_ADDR_D237,,REAL,PLC,,[]
D261,D261,D,261,Tag_07MIN_07SEC,"""07min : 07sec""",REAL,PLC,,[]
D262,D262,D,262,EXT_ADDR_D262,,REAL,PLC,,[]
D263,D263,D,263,EXT_ADDR_D263,,REAL,PLC,,[]
D264,D264,D,264,EXT_ADDR_D264,,REAL,PLC,,[]
D265,D265,D,265,XFRB_CONTROL_WORD_1,"""XFRB Control Word #1""",REAL,PLC,,[]
D266,D266,D,266,Tag_07HRS_7AM,"""07Hrs (7am)""",REAL,PLC,,[]
D267,D267,D,267,CONTROL_WORD_2,"""Control Word #2""",REAL,PLC,,[]
D270,D270,D,270,SECOND,"""Second""",REAL,PLC,,[]
D271,D271,D,271,MINUTE,"""Minute""",REAL,PLC,,[]
D272,D272,D,272,HOUR,"""Hour""",REAL,PLC,,[]
D273,D273,D,273,DAY,"""Day""",REAL,PLC,,[]
D274,D274,D,274,MONTH,"""Month""",REAL,PLC,,[]
D275,D275,D,275,YEAR,"""Year""",REAL,PLC,,[]
D276,D276,D,276,MIN_SEC,"""MIN : SEC""",REAL,PLC,,[]
D277,D277,D,277,DAY_HOUR,"""DAY : HOUR""",REAL,PLC,,[]
D278,D278,D,278,YEAR_MONTH,"""YEAR : MONTH""",REAL,PLC,,[]
D279,D279,D,279,ADDTIONAL_MINUTES_AND_SECONDS,"""Addtional Minutes and Seconds""",REAL,PLC,,[]
D280,D280,D,280,ADDITIONAL_HOURS,"""Additional Hours""",REAL,PLC,,[]
D281,D281,D,281,EXT_ADDR_D281,,REAL,PLC,,[]
D282,D282,D,282,EXT_ADDR_D282,,REAL,PLC,EXT_D_array[282],[]
D283,D283,D,283,EXT_ADDR_D283,,REAL,PLC,,[]
D284,D284,D,284,EXT_ADDR_D284,,REAL,PLC,,[]
D285,D285,D,285,EXT_ADDR_D285,,REAL,PLC,,[]
D286,D286,D,286,EXT_ADDR_D286,,REAL,PLC,,[]
D287,D287,D,287,EXT_ADDR_D287,,REAL,PLC,,[]
D288,D288,D,288,EXT_ADDR_D288,,REAL,PLC,,[]
D289,D289,D,289,EXT_ADDR_D289,,REAL,PLC,,[]
D290,D290,D,290,EXT_ADDR_D290,,REAL,PLC,,[]
D291,D291,D,291,EXT_ADDR_D291,,REAL,PLC,,[]
D292,D292,D,292,EXT_ADDR_D292,,REAL,PLC,,[]
D293,D293,D,293,EXT_ADDR_D293,,REAL,PLC,,[]
D294,D294,D,294,EXT_ADDR_D294,,REAL,BOTH,,['EXT_4TH_COOK_START_CALC_RESULT']
D295,D295,D,295,EXT_ADDR_D295,,REAL,PLC,,[]
D296,D296,D,296,EXT_ADDR_D296,,REAL,PLC,,[]
D297,D297,D,297,MINSEC_HOLDER,"""MIN/SEC HOLDER""",REAL,PLC,,[]
D298,D298,D,298,DAYHOUR_HOLDER,"""DAY/HOUR HOLDER""",REAL,PLC,,[]
D305,D305,D,305,EXT_ADDR_D305,,REAL,PLC,,[]
D306,D306,D,306,EXT_ADDR_D306,,REAL,PLC,,[]
D340,D340,D,340,STANDARD_FILL_TIME,"""STANDARD_FILL_TIME""",REAL,BOTH,,"['FILL_STANDARD_TIME_AI', 'FILL_STANDARD_TIME_AO']"
D341,D341,D,341,STANDARD_HEATUP_TIME,"""STANDARD_HEATUP_TIME""",REAL,BOTH,,"['HEATUP_STANDARD_TIME_AI', 'HEATUP_STANDARD_TIME_AO']"
D342,D342,D,342,STANDARD_DROP_TIME,"""STANDARD DROP TIME""",REAL,BOTH,,"['DROP_STANDARD_TIME_AI', 'DROP_STANDARD_TIME_AO']"
D343,D343,D,343,STANDARD_TRANSFER_TIME,"""STANDARD TRANSFER TIME""",REAL,BOTH,,"['TRANSFER_STANDARD_TIME_AI', 'TRANSFER_STANDARD_TIME_AO']"
D344,D344,D,344,STANDARD_AUTOJET_TIME,"""STANDARD AUTOJET TIME""",REAL,BOTH,,"['AUTOJET_STANDARD_TIME_AI', 'AUTOJET_STANDARD_TIME_AO']"
D345,D345,D,345,STANDARD_DEMIN_TIME,"""STANDARD DEMIN TIME""",REAL,BOTH,,"['DEMIN_STANDARD_TIME_AI', 'DEMIN_STANDARD_TIME_AO']"
D346,D346,D,346,STANDARD_EVAP_TIME,"""STANDARD EVAP TIME""",REAL,BOTH,,"['EVAP_STANDARD_TIME_AI', 'EVAP_STANDARD_TIME_AO']"
D347,D347,D,347,STANDARD_STERILIZER_TIME,"""STANDARD STERILIZER TIME""",REAL,BOTH,,"['STER_STANDARD_TIME_AI', 'STER_STANDARD_TIME_AO']"
D348,D348,D,348,STANDARD_CHEM_TIME,"""STANDARD CHEM TIME""",REAL,BOTH,,"['OSCIL_STANDARD_TIME_AI', 'OSCIL_STANDARD_TIME_AO']"
D349,D349,D,349,STANDARD_DROP4_TIME,"""STANDARD DROP4 TIME""",REAL,BOTH,,"['COOK4_STANDARD_TIME_AI', 'COOK4_STANDARD_TIME_AO']"
D350,D350,D,350,DEMIN_C1A1,"""DEMIN C1A1""",REAL,BOTH,,"['DEMIN_STANDARD_TIME_1_AI', 'DEMIN_STANDARD_TIME_1_AO']"
D352,D352,D,352,DEMIN_PLSHR,"""DEMIN PLSHR""",REAL,BOTH,,['DEMIN_STANDARD_TIME_3_AO']
D360,D360,D,360,FILLING_DURATION,"""FILLING DURATION""",REAL,BOTH,,['FILL_DURATION_TIMER']
D361,D361,D,361,HEATUP_DURATION,"""HEATUP_DURATION""",REAL,BOTH,,['HEATUP_DURATION_TIMER']
D362,D362,D,362,DROP_DURATION,"""DROP DURATION""",REAL,BOTH,,['DROP_DURATION_TIMER']
D363,D363,D,363,TRANSFER_DURATION,"""TRANSFER DURATION""",REAL,BOTH,,['TRANSFER_DURATION_TIMER']
D364,D364,D,364,AUTOJET_DURATION,"""AUTOJET DURATION""",REAL,BOTH,,['AUTOJET_DURATION_TIMER']
D365,D365,D,365,DEMIN_DURATION,"""DEMIN DURATION""",REAL,BOTH,,['DEMIN_DURATION_TIMER']
D366,D366,D,366,EVAP_DURATION,"""EVAP DURATION""",REAL,BOTH,,['EVAP_DURATION_TIMER']
D367,D367,D,367,STERILIZER_DURATION,"""STERILIZER DURATION""",REAL,BOTH,,['STER_DURATION_TIMER']
D368,D368,D,368,OSCILLATING_DURATION,"""OSCILLATING DURATION""",REAL,BOTH,,['OSCIL_DURATION_TIMER']
D369,D369,D,369,DROP4_DURATION,"""DROP4 DURATION""",REAL,BOTH,,['COOK4_DURATION_TIMER']
D400,D400,D,400,EXT1COOK,"""Extractor #1 Cook""",REAL,BOTH,,"['EXT_CURRENT_COOK1_AR', 'EXT_CURRENT_COOK1_AI', 'EXT_CURRENT_COOK1', 'EXT_COOK_1_AI', 'EXT_CURRENT_COOK1_AO']"
D401,D401,D,401,EXT2COOK,"""Extractor #2 Cook""",REAL,BOTH,,"['EXT_CURRENT_COOK2_AR', 'EXT_CURRENT_COOK2_AI', 'EXT_CURRENT_COOK2', 'EXT_COOK_2_AI', 'EXT_CURRENT_COOK2_AO']"
D402,D402,D,402,EXT3COOK,"""Extractor #3 Cook""",REAL,BOTH,,"['EXT_CURRENT_COOK3_AR', 'EXT_CURRENT_COOK3_AI', 'EXT_CURRENT_COOK3', 'EXT_COOK_3_AI', 'EXT_CURRENT_COOK3_AO']"
D403,D403,D,403,EXT4COOK,"""Extractor #4 Cook""",REAL,BOTH,,"['EXT_CURRENT_COOK4_AR', 'EXT_CURRENT_COOK4_AI', 'EXT_CURRENT_COOK4', 'EXT_COOK_4_AI', 'EXT_CURRENT_COOK4_AO']"
D405,D405,D,405,Tag_1CURTEMPSP,"""Extractor #1 Current Temperature Set Point""",REAL,BOTH,,['EXT_HU_TEMP_STPT_EXT_1']
D406,D406,D,406,Tag_2CURTEMPSP,"""Extractor #2 Current Temperature Setpoint""",REAL,BOTH,,['EXT_HU_TEMP_STPT_EXT_2']
D407,D407,D,407,Tag_3CURTEMPSP,"""Extractor #3 Current Temperature Setpoint""",REAL,BOTH,,['EXT_HU_TEMP_STPT_EXT_3']
D408,D408,D,408,Tag_4CURTEMPSP,"""Extractor #4 Current Temperature Setpoint""",REAL,BOTH,,['EXT_HU_TEMP_STPT_EXT_4']
D409,D409,D,409,EXT_ADDR_D409,,REAL,PLC,,[]
D410,D410,D,410,EXT_ADDR_D410,,REAL,PLC,,[]
D411,D411,D,411,EXT_ADDR_D411,,REAL,PLC,,[]
D412,D412,D,412,EXT_ADDR_D412,,REAL,PLC,,[]
D415,D415,D,415,EXT_ADDR_D415,,REAL,PLC,,[]
D416,D416,D,416,EXT_ADDR_D416,,REAL,PLC,,[]
D417,D417,D,417,EXT_ADDR_D417,,REAL,PLC,,[]
D418,D418,D,418,EXT_ADDR_D418,,REAL,PLC,,[]
D420,D420,D,420,Tag_1STCOOKTEMP,"""1st Cook Temperature Set Point""",REAL,BOTH,,['EXT_HU_TEMP_STPT_1ST_AI']
D421,D421,D,421,Tag_2NDCOOKTEMP,"""2nd Cook Temperature Set Point""",REAL,BOTH,,['EXT_HU_TEMP_STPT_2ND_AI']
D422,D422,D,422,Tag_3RDCOOKTEMP,"""3rd Cook Temperature Set Point""",REAL,BOTH,,['EXT_HU_TEMP_STPT_3RD_AI']
D423,D423,D,423,Tag_4THCOOKTEMP,"""4th Cook Temperature Set Point""",REAL,BOTH,,['EXT_HU_TEMP_STPT_4TH_AI']
D425,D425,D,425,MOD_1ST_COOK_TEMP,"""Mod 1st Cook Temp SetPoint""",REAL,BOTH,,['EXT1_HU_TEMP_STPT_1ST_MODIFIED']
D426,D426,D,426,MOD_2ND_COOK_TEMP,"""Mod 2nd Cook Temp SetPoint""",REAL,BOTH,,['EXT1_HU_TEMP_STPT_2ND_MODIFIED']
D427,D427,D,427,MOD_3RD_COOK_TEMP,"""Mod 3rd Cook Temp SetPoint""",REAL,BOTH,,['EXT1_HU_TEMP_STPT_3RD_MODIFIED']
D428,D428,D,428,MOD_4TH_COOK_TEMP,"""Mod 4th Cook Temp SetPoint""",REAL,BOTH,,['EXT1_HU_TEMP_STPT_4TH_MODIFIED']
D430,D430,D,430,Tag_1CURBATCH,"""_1CURBATCH""",REAL,PLC,,[]
D431,D431,D,431,Tag_2CURBATCH,"""_2CURBATCH""",REAL,PLC,,[]
D432,D432,D,432,Tag_3CURBATCH,"""_3CURBATCH""",REAL,PLC,,[]
D433,D433,D,433,Tag_4CURBATCH,"""_4CURBATCH""",REAL,PLC,,[]
D500,D500,D,500,CAUSTIC_LEVEL_PLUS_1,"""Caustic level plus 1%, target to fill with new caustic""",REAL,PLC,,[]
D501,D501,D,501,EXT_ADDR_D501,,REAL,PLC,,[]
D604,D604,D,604,EXT_ADDR_D604,,REAL,BOTH,,['EXT_TEMP_12_DELTA']
D605,D605,D,605,EXT_ADDR_D605,,REAL,BOTH,,['EXT_TEMP_34_DELTA']
D800,D800,D,800,UNIT4_PV_STORE,"""CONTROLLER VALUES STORING""",REAL,BOTH,,['EXT_TEMP_HE1_OUT']
D810,D810,D,810,UNIT3_PV_STORE,"""CONTROLLER VALUES STORING""",REAL,BOTH,,['EXT_TEMP_HE2_OUT']
D820,D820,D,820,UNIT2_PV_STORE,"""CONTROLLER VALUES STORING""",REAL,BOTH,,['EXT_TEMP_HE3_OUT']
D830,D830,D,830,UNIT1_PV_STORE,"""CONTROLLER VALUES STORING""",REAL,BOTH,,['EXT_TEMP_HE4_OUT']
D840,D840,D,840,WFTEMP,"""WATER FRACTION TEMP""",REAL,BOTH,,['EXT_TEMP_WATER_FRACTION']
D900,D900,D,900,EXT_ADDR_D900,,REAL,PLC,,[]
D901,D901,D,901,EXT_ADDR_D901,,REAL,PLC,,[]
D914,D914,D,914,EXT_ADDR_D914,,REAL,PLC,,[]
D915,D915,D,915,EXT_ADDR_D915,,REAL,PLC,,[]
D928,D928,D,928,EXT_ADDR_D928,,REAL,PLC,,[]
D929,D929,D,929,EXT_ADDR_D929,,REAL,PLC,,[]
D942,D942,D,942,EXT_ADDR_D942,,REAL,PLC,,[]
D943,D943,D,943,EXT_ADDR_D943,,REAL,PLC,,[]
D960,D960,D,960,EXT_ADDR_D960,,REAL,PLC,,[]
D961,D961,D,961,EXT_ADDR_D961,,REAL,PLC,,[]
D962,D962,D,962,EXT_ADDR_D962,,REAL,PLC,,[]
D963,D963,D,963,EXT_ADDR_D963,,REAL,PLC,,[]
D964,D964,D,964,EXT_ADDR_D964,,REAL,PLC,,[]
D965,D965,D,965,EXT_ADDR_D965,,REAL,PLC,,[]
D966,D966,D,966,EXT_ADDR_D966,,REAL,PLC,,[]
D967,D967,D,967,EXT_ADDR_D967,,REAL,PLC,,[]
D970,D970,D,970,EXT_ADDR_D970,,REAL,PLC,,[]
D971,D971,D,971,EXT_ADDR_D971,,REAL,PLC,,[]
D980,D980,D,980,POWERPACK_M1,"""Chopper powerpack motor #1 Amp reading to scada""",REAL,BOTH,,['CHOP_POWERPACK_AMP1_AI']
D981,D981,D,981,POWERPACK_M2,"""Chopper powerpack motor #2 Amp reading to scada""",REAL,BOTH,,['CHOP_POWERPACK_AMP2_AI']
D982,D982,D,982,SPARE_TO_SCADA,"""Ext. H/E Temp Scaled""",REAL,BOTH,,"['EXT_TEMP_FEED_WATER', 'EXT_TEMP_FEED_WATER_TREND']"
D984,D984,D,984,EXT_ADDR_D984,,REAL,BOTH,,['STEAM_PRESSURE_TO_EXTRACTORS']
D990,D990,D,990,EXT_ADDR_D990,,REAL,PLC,,[]
D991,D991,D,991,EXT_ADDR_D991,,REAL,PLC,,[]
D995,D995,D,995,EXT_ADDR_D995,,REAL,PLC,,[]
D996,D996,D,996,EXT_ADDR_D996,,REAL,PLC,,[]
D1436,D1436,D,1436,EXT_ADDR_D1436,,REAL,BOTH,,"['EXT_BATCH_NUM_1_AI', 'EXT_BATCH_NUM_1_AO']"
D1437,D1437,D,1437,EXT_ADDR_D1437,,REAL,BOTH,,"['EXT_BATCH_NUM_2_AI', 'EXT_BATCH_NUM_2_AO']"
D1438,D1438,D,1438,EXT_ADDR_D1438,,REAL,BOTH,,"['EXT_BATCH_NUM_3_AI', 'EXT_BATCH_NUM_3_AO']"
D1439,D1439,D,1439,EXT_ADDR_D1439,,REAL,BOTH,,"['EXT_BATCH_NUM_4_AI', 'EXT_BATCH_NUM_4_AO']"
D1450,D1450,D,1450,EXT_ADDR_D1450,,REAL,BOTH,,['N_PRE_RIND_DROP_P1_LVL_SP_AO']
D1451,D1451,D,1451,EXT_ADDR_D1451,,REAL,BOTH,,['N_PRE_RIND_DROP_P2_LVL_SP_AO']
D1452,D1452,D,1452,EXT_ADDR_D1452,,REAL,BOTH,,['N_PRE_RIND_DROP_P3_LVL_SP_AO']
D1453,D1453,D,1453,EXT_ADDR_D1453,,REAL,BOTH,,['N_PRE_RIND_DROP_P4_LVL_SP_AO']
D1456,D1456,D,1456,EXT_ADDR_D1456,,REAL,PLC,,[]
D1460,D1460,D,1460,Tag_1ST_COOK_TEMP_S_P,"""1st Cook Temp S.P. from SCADA""",REAL,BOTH,,['EXT_HU_TEMP_STPT_1ST_AI_AO']
D1461,D1461,D,1461,Tag_2ND_COOK_TEMP_S_P,"""2nd Cook Temp S.P. from SCADA""",REAL,BOTH,,['EXT_HU_TEMP_STPT_2ND_AI_AO']
D1465,D1465,D,1465,EXT_ADDR_D1465,,REAL,PLC,,[]
D1466,D1466,D,1466,EXT_ADDR_D1466,,REAL,PLC,,[]
D1467,D1467,D,1467,EXT_ADDR_D1467,,REAL,PLC,,[]
D1468,D1468,D,1468,EXT_ADDR_D1468,,REAL,PLC,,[]
D1469,D1469,D,1469,EXT_ADDR_D1469,,REAL,PLC,,[]
D3000,D3000,D,3000,UFHT_GELYFLOW,"""Gelly Flow rate to UFHT""",REAL,BOTH,,"['EXT_PROD_PMP_FLOW', 'EXT_FLOW_TO_UFHT_TOT', 'EXT_FLOW_TO_UFHT_AR', 'EXT_FLOW_TO_UFHT_AI', 'EXT_FLOW_TO_UFHT_AO']"
D3001,D3001,D,3001,EXT_ADDR_D3001,,REAL,BOTH,,['EXT_1_1_TEMP_FILL_SIM']
D3002,D3002,D,3002,EXT_ADDR_D3002,,REAL,BOTH,,['EXT_1_1_FLOW_TOTAL_FILL_SIM']
D3003,D3003,D,3003,EXT_ADDR_D3003,,REAL,BOTH,,['EXT_1_1_TEMP_HU_I_SIM']
D3004,D3004,D,3004,EXT_ADDR_D3004,,REAL,BOTH,,['EXT_1_1_TEMP_HU_F_SIM']
D3005,D3005,D,3005,EXT_ADDR_D3005,,REAL,BOTH,,['EXT_1_1_TEMP_SET_SIM']
D3006,D3006,D,3006,EXT_ADDR_D3006,,REAL,BOTH,,['EXT_1_1_FLOW_TOTAL_SET']
D3007,D3007,D,3007,EXT_ADDR_D3007,,REAL,PLC,,[]
D3008,D3008,D,3008,EXT_ADDR_D3008,,REAL,PLC,,[]
D3009,D3009,D,3009,EXT_ADDR_D3009,,REAL,PLC,,[]
D3010,D3010,D,3010,EXT_ADDR_D3010,,REAL,PLC,,[]
D3011,D3011,D,3011,EXT_ADDR_D3011,,REAL,BOTH,,['EXT_1_2_TEMP_FILL_SIM']
D3012,D3012,D,3012,EXT_ADDR_D3012,,REAL,BOTH,,['EXT_1_2_FLOW_TOTAL_FILL_SIM']
D3013,D3013,D,3013,EXT_ADDR_D3013,,REAL,BOTH,,['EXT_1_2_TEMP_HU_I_SIM']
D3014,D3014,D,3014,EXT_ADDR_D3014,,REAL,BOTH,,['EXT_1_2_TEMP_HU_F_SIM']
